"VID","VESSEL_TYPE","VESSEL_NAME","IRCS","FLAG_STATE","VSL_FLAG_REG_NUM","GRT","LENGTH","COUNTRY_BUILT","SPEED","YEAR_BUILT","CREW_COUNT","ENGINE_POWER","POWER_UNITS","FUEL_CAPACITY","SATELLITE_COMMS","BRINE","BLAST","COILS","DAILY_CAPACITY","ICE","SEA","BRINE2","AIR","STORAGE_CAPACITY","CHANGE_DETECTED","NOTES","CREATED_BY_USER_ID","CREATED_DATETIME","UPDATED_BY_USER_ID","UPDATED_DATETIME","CONTACTS_FAX","CONTACTS_PHONE","CONTACTS_EMAIL","APPROVED_ALC","INMARSAT_NUMBER","RL_LENGTH","LP_LENGTH","ENGINE_MODEL","STORAGE_CAP_UNITS_CODE","MMSI_NUMBER","PORT_REGISTRY_ID","REGISTERED_DATE","DEREGISTERED_DATE","PARALLEL_REG_CODE","BUILDER_NAME","NET_TONNAGE","DEAD_WEIGHT","MOULDED_DEPTH","BEAM","IMO","WCPFC_ID"
"34178","Fish Carrier","OSTROV BERINGA","3FHP2","PA","4250111A","5757.0000","124.5000","JP","16.0000","1956","23","5950.0000","","2292.8101","0","0","0","1","500.0000","0","1","0","0","6411.6128","0","","TUPOUF","1/6/1999 15:02:49","ALISA.VAVATAGA","14/12/2016 16:24:54","","00870761119410","3FHP2@GLOBEMAIL.COM","1","457639312","116.59","116","KOBE DIESEL","CM","353242000","152","19/4/2011 00:00:00","","","Evergreen Shipyard Corp","2483.0000","","10.4000","10.40","8517815","9287"
"20131","Fish Carrier","CORAL STAR","6KUI","KR","BS02-A-2004","923.7500","59.9100","KR","15.0000","1957","16","1600.0000","","350.0000","0","0","0","0","","0","0","0","0","1100.0000","0","","REG_DEV","23/2/1996 11:41:40","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"29926","Fish Carrier","ROY WATTS II","DUJ2010","PH","ICGD-84-0095","664.5200","54.4000","JP","15.0000","1957","24","1500.0000","","130.0000","0","0","0","0","","0","1","0","0","500.0000","0","","REG_DEV","23/2/1996 11:42:34","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"35692","Troll","FERN","E5U2026","CK","1098","144.4000","22.2500","","8.0000","1958","5","375.0000","","50.0000","0","","","","","","","","1","45.0000","0","","GINIA.HAROLD","7/5/2008 11:17:21","GINIA.HAROLD","7/5/2008 11:17:21","64-7-5481939","64-7-5481949","lahacienda@slingshot.co.nz","1","451800024","22.38","","KELVIN TAS8","MT","","","","","","","","","","","",""
"33509","Longline","HWA HSIANG 3","BH2128","TW","CT6-0128","251.1200","31.6000","CN","10.8000","1958","20","800.0000","","78.0800","0","0","0","0","3.0000","0","0","0","1","150.0000","0","","CECILIAN","10/6/1996 14:52:12","REG_DEV","30/11/2003 19:59:36","","","","","","","","","CM","","","","","","","","","","","",""
"22467","Fish Carrier","SPRING BEAUTY","DVQW","PH","MNLD000390","366.1200","47.7200","JP","10.0000","1961","21","800.0000","","100.0000","0","0","0","0","","0","0","0","1","300.0000","0","Flag registration number previously used is ICGD-78-0260.","REG_DEV","23/2/1996 11:41:46","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"13334","Fish Carrier","FILIPINAS ORIENT","DUJ6004","PH","225611","927.1500","69.2700","JP","10.0000","1961","32","1800.0000","","407.8800","0","0","0","0","","0","0","0","1","2805.0000","0","","REG_DEV","23/2/1996 11:41:17","REG_DEV","30/11/2003 19:59:33","","","","","","","","","CM","","","","","","","","","","","",""
"33183","Fish Carrier","NADAZHASA","J8GH4","VC","3593","189.2600","670.0000","JP","9.0000","1961","12","1800.0000","","","0","0","0","0","","0","0","0","0","","0","","REG_DEV","23/2/1996 11:45:25","TUPOUF","31/7/1998 17:28:22","","","","","","","","","","","","","","","","","","","","",""
"35952","Fish Carrier","DOLLY 783","DUM3141","PH","120000127","984.6200","76.1200","JP","10.0000","1961","25","1193.0000","","725.0000","0","","","","","","","","1","934.9000","0","","ALISA.VAVATAGA","14/12/2009 19:44:26","ALISA.VAVATAGA","15/10/2014 14:14:43","63-83-553-8603","63-83-554-7991","rcrivera@rdcorp.com.ph","1","454800068","69.27","68.42","NIIGATA","MT","","17","11/1/2010 00:00:00","","","KAMABASHI SHIPPING CO., LTD","620.9500","","4.7000","11.50","5317915","9832"
"32045","Fish Carrier","TAE YANG 12","HLHZ","KR","95123116260004","1358.0800","73.5100","JP","11.0000","1962","15","2200.0000","","683.0000","0","0","0","0","0.0000","0","0","1","0","2454.1599","0","Former vessel name is ""Pacific Kim"". It is burned and sunk as per fax dated 9/4/00, received from Ji Sung Shipping Co., Ltd ( Charter of the vessel)","REG_DEV","23/2/1996 11:43:03","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"20289","Fish Carrier","MAYA","DUA2437","PH","ZAM2F00131","795.8600","75.6000","FR","10.0000","1962","32","2000.0000","","355.0000","0","0","0","0","","0","0","0","1","2005.0000","0","","REG_DEV","23/2/1996 11:41:40","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"34838","Longline","MASSECHUSETTS","WCY7569","US","289960","199.0000","38.2000","US","13.0000","1962","5","750.0000","","125.1250","1","","","1","4.0000","","","","","","0","","CECILIAN","13/6/2002 15:38:19","CECILIAN","13/6/2002 15:38:19","","","","1","433874410","","","","","","","","","","","","","","","",""
"32270","Fish Carrier","DRAGON RISE 303","V3OF","BZ","16932006","1387.1700","78.9000","JP","12.0000","1962","16","2100.0000","","200.0000","0","0","0","0","0.0000","0","0","0","0","0.0000","0","","REG_DEV","23/2/1996 11:43:30","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"21451","Single Purse Seine","MISTLETOE 2","DUVR","PH","005970","778.0000","46.9100","US","10.0000","1962","22","1600.0000","","170.0000","0","0","0","1","70.0000","0","0","0","1","350.0000","0","Flag registration numbers previously used is ICGD-87-0235 and 223927.","REG_DEV","23/2/1996 11:41:43","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"33791","Longline","SUNBIRD","3DRA","FJ","","51.4200","17.9800","AU","7.0000","1962","10","130.5500","","20.0000","0","0","0","0","2.0000","1","0","0","0","15.0000","0","Domestic Vessel.","TUPOUF","22/9/1997 14:55:45","TUPOUF","15/12/2003 10:44:59","","","","1","452005410","17.98","","GARDNER","CM","","","","","","","","","","","",""
"32067","Fish Carrier","WIDE SEA 28","HQBD9","HN","RHL-83537","1317.0601","70.0000","JP","10.0000","1962","16","2300.0000","","570.0000","0","0","0","0","0.0000","0","0","0","1","2340.8999","0","FUEL CAPACITY IS MEASURED IN ""CBM"".","REG_DEV","23/2/1996 11:43:05","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"32938","Pole and Line","RYOKO 1","H4FB","JP","ON2-2157","59.8300","24.5000","JP","7.0000","1963","31","540.0000","","19.0300","0","0","0","0","0.0000","0","1","0","0","24.1000","0","","REG_DEV","23/2/1996 11:44:54","REG_DEV","30/11/2003 19:59:36","","","","","","","","","CM","","","","","","","","","","","",""
"34808","Longline","CATHERINE 2","ZM3599","NZ","8320","67.0000","21.2300","NZ","10.0000","1963","5","437.0000","","13.0000","0","","","1","5.0000","1","","","1","40.0000","0","","CECILIAN","22/3/2002 14:43:08","REG_DEV","30/11/2003 19:59:38","","","","0","","","","","CM","","","","","","","","","","","",""
"35310","Longline","CATRIONA B","VKV6888","AU","318391","114.8800","22.7800","AU","10.0000","1963","10","425.0000","","43.4700","0","","","","","","","1","","60.0000","0","","ALISAV","4/12/2004 17:24:26","ALISAV","9/12/2004 11:12:58","38702","38700","pacificempozium@ipzimus.com.au","1","450302684","22.78","","CATEPILLER","MT","","","","","","","","","","","",""
"34889","Longline","SEAWILL","3DYD","FJ","000491","212.0000","36.6000","NL","10.0000","1963","14","940.0000","","50.0000","1","","","","0.0000","0","0","","1","65.0000","0","","CECILIAN","18/9/2002 12:15:39","REG_DEV","25/6/2013 17:43:06","(679) 3314973","(679) 3314819","wahid@seaquest.com.fj","1","452007810","36.60","36.60","CUMMINS KT38","MT","","","","","","","","","","","","5047"
"33206","Longline","MARINE PRINCESS","ZM4027","NZ","317609","64.0000","20.1900","NZ","9.2000","1964","4","171.5000","","8.0000","1","0","1","0","3.0000","0","0","0","1","25.0000","0","LAST FLAG REG. NUMBER:  ""4007 AND 33206""","REG_DEV","23/2/1996 11:45:28","REG_DEV","30/11/2003 19:59:36","","","","","","","","","CM","","","","","","","","","","","",""
"35271","Longline","TAHITI RAVA'AI","ZKU2045","CK","1120","211.3800","33.2500","FR","12.0000","1965","10","770.0000","","68.0000","0","","","","","","","","1","76.2200","0","","ALISAV","4/10/2004 09:34:39","ALISAV","4/10/2004 09:34:39","682-22-435","682-55-079","sptrader@oyster.net.ck","","","29","","Duvant","MT","","","","","","","","","","","",""
"35068","Search/Anchor/Light","CHAMPION 11","DUA6279","PH","MNLD000032","33.5100","20.1000","JP","7.0000","1965","6","380.0000","","14.0000","0","","","","","","","","","","0","","TUPOUF","4/6/2003 14:58:44","ALISAV","1/6/2004 15:10:00","","","","","","","","Yanmar","","","","","","","","","","","","",""
"35055","Net Boat","WHITE MAGNOLIA 2","DUA 6070","PH","MNLD001408","135.7900","33.0000","JP","23.0000","1965","23","624.0000","","20.0000","0","","","","","","","","","","0","This net boat has purse seiner equipments but cannot be classified as a purse seiner since it lacks freezing and fish hold capacities. It needs a support vessel for storing and freezing of catches.","TUPOUF","8/5/2003 10:33:49","TUPOUF","23/10/2003 10:33:10","","","","","","","","","","","","","","","","","","","","",""
"32304","Fish Carrier","TAIYO","DTAW9","KR","99060046260001","1353.0000","88.3000","JP","13.0000","1965","16","3150.0000","","218.0000","1","0","0","1","48.5000","0","0","0","1","2427.3401","0","Vessel name changed from Taiyo 1 to Taiyo.  IRCS changed from HQFS4 to DTAW9, Flag State Registration changed from L-0333200 to 9906004-626001and Country of Registration is also changed from Republic of Honduras to Korea as per Certificate of Vessel's Nationality received on 6/1/2000.
MOBILE EARTH STATION - YES
SERIAL NUMBER: 5158
INMARSAT MOBILE NUMBER: PHONE: 633439510
FAX:  633439511
MODEL NUMBER: SATURN -M
SOFTWARE VERSION OF THE DEVICE: 2 XX\
DATE DEVICE INSTALLED ON VESSEL: 15/8/1996","REG_DEV","23/2/1996 11:43:34","REG_DEV","30/11/2003 19:59:38","633439511","633439510","","","","","","","CM","","","","","","","","","","","",""
"34052","Search/Anchor/Light","CHAMPION 8","DUA2689","PH","005857","33.5100","20.1000","JP","10.0000","1965","8","470.0000","","12.0000","0","0","0","0","","0","0","0","0","","0","","CECILIAN","15/9/1998 14:07:38","BRENDAR","7/5/2002 11:19:19","","","","","","","","","","","","","","","","","","","","",""
"32274","Longline","ZHONG I 316","BVBW","TW","CT6-0024","390.4200","46.9600","TW","10.0000","1965","28","800.0000","","182.8680","0","0","1","0","5.0000","0","0","0","1","405.0000","0","","REG_DEV","23/2/1996 11:43:30","REG_DEV","30/11/2003 19:59:34","341668314","341668312","","1","492049376","","","","CM","","","","","","","","","","","",""
"31815","Fish Carrier","JIA MING","3EGQ9","TW","19887-91","1278.8700","69.8000","JP","15.0000","1965","11","2000.0000","","860.0000","0","0","0","1","","0","0","0","1","2312.4700","1","Fuel capacity in mt","REG_DEV","23/2/1996 11:42:56","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"22434","Single Purse Seine","EASTERN PACIFIC","HP5793","PA","1910490A","724.0000","45.5700","US","14.0000","1965","16","1800.0000","","150.0000","0","1","0","0","80.0000","0","0","1","0","380.0000","0","OLD FLAG REG. NUMBER:  ""20024-PEXT-3""","REG_DEV","23/2/1996 11:41:46","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"35953","Fish Carrier","CHRYSANTHEMUM","DUA-6079","PH","MNLD000231","248.2100","36.5800","JP","9.0000","1966","20","500.0000","","","0","","","","","1","","","","248.2100","0","","ALISA.VAVATAGA","15/12/2009 11:26:07","ALISA.VAVATAGA","22/11/2010 11:05:34","","","","1","454800057","","35.80","CUMMINS","CM","","","","","","","","","","","",""
"9233","Single Purse Seine","DAISY","DUVN","PH","ICGD-87-0234","593.0000","43.8100","YU","18.0000","1966","25","1560.0000","","100.0000","0","1","0","0","60.0000","0","0","1","0","400.0000","0","","REG_DEV","23/2/1996 11:41:06","REG_DEV","30/11/2003 19:59:33","","","","","","","","","CM","","","","","","","","","","","",""
"33168","Troll","WARUNDA","VJFW5931","AU","317903","225.0700","30.0500","AU","12.0000","1966","10","1622.0000","","85.0000","1","1","1","1","5.0000","0","1","1","1","35.0000","0","","REG_DEV","23/2/1996 11:45:24","REG_DEV","30/11/2003 19:59:36","","","","","","","","","CM","","","","","","","","","","","",""
"24109","Fish Carrier","VANILLA","DUUP","PH","000002305","1203.4000","73.6000","FI","10.0000","1966","40","1500.0000","","124.0000","0","0","0","0","","0","0","0","1","1100.0000","0","Flag registration number previously used is ICGD-89-0449.  Changed from 005859 to MNLD001020.","REG_DEV","23/2/1996 11:41:55","ALISA.VAVATAGA","24/8/2017 01:05:32","","","GWD013005052708@vmstracking.com","1","454860810","66.56","66.56","MAK","MT","","289","9/1/2013 00:00:00","","","Uudenkaupungin Telakka Oy (nystads Varv)","722.2200","6.3500","6.3500","6.35","6613469","1051"
"35459","Longline","ALBACORE 1","E5U2108","CK","1186","147.0000","27.4320","PL","8.0000","1966","8","425.0000","","75.6000","0","","","","","","","","1","80.0000","0","Call Signed changed to CK markings.
Change name: 23 Feb 2012 (Leah Dawn prev)","GINIA.HAROLD","2/6/2006 12:09:45","GINIA.HAROLD","27/6/2013 10:08:12","","6044 615 712","master.leahdawn@telaurus.net","1","431251110","27.43","","CAT 353","MT","","870","","","","","43.0000","","2.9400","","","8721"
"23283","Fish Carrier","SEA TOWN","DUWA7","PH","ZAM2F00254","788.7600","65.1200","NO","10.0000","1966","32","1400.0000","","476.7300","0","0","0","0","","0","0","0","1","2190.0000","0","","REG_DEV","23/2/1996 11:41:52","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"810","Longline","SHIN YIH SHYANG 10","BH2439","TW","CT5-0439","160.9800","32.1400","TW","12.0000","1967","20","450.0000","","150.0000","0","0","0","1","3.0000","0","0","0","1","160.0000","0","","REG_DEV","23/2/1996 11:40:40","REG_DEV","30/11/2003 19:59:33","","","","","","","","","CM","","","","","","","","","","","",""
"21444","Net Boat","CATTLEYA","DVEA","PH","ICGD-78-0344","280.3300","37.0000","JP","15.0000","1967","26","1250.0000","","600.0000","0","1","0","0","45.0000","0","0","1","0","110.0000","0","","REG_DEV","23/2/1996 11:41:43","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"30817","Fish Carrier","SEA TOWER","3EKY8","PA","1956791","2766.0000","104.7100","JP","11.0000","1967","22","5580.0000","","570.0000","0","0","0","0","","0","0","0","1","1576.0000","0","Last flag state reg.number: 2711245 & 20345-TT","REG_DEV","23/2/1996 11:42:44","REG_DEV","30/11/2003 19:59:38","641673040","641673030","","","","","","","CM","","","","","","","","","","","",""
"35244","Longline","SOUTHERN PACIFIC","E5U2038","CK","1112","240.0000","33.6000","DE","10.0000","1967","6","425.0000","","42.5000","0","","","","","","","","1","72.0000","0","LICENSED TO FISH IN COOK IS. WATERS.
TAKEN FROM COKK. IS. LICENSING LIST.","TUPOUF","11/8/2004 15:30:15","GINIA.HAROLD","15/9/2010 14:58:11","","881621465609","southernpacific@zap_email.com","1","451808613","29.70","","CUMMINS KT 19M","MT","","","","","","","","","","","",""
"27086","Longline","SHENG JYI 7","BVPS","TW","CT6-1069","220.0200","33.0200","TW","9.0000","1967","16","430.0000","","140.0000","0","0","1","0","5.0000","0","0","0","1","190.0000","0","","REG_DEV","23/2/1996 11:42:16","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"26633","Longline","SHENG PAO 3","BH2042","TW","CT6-0042","216.0000","31.9100","TW","12.0000","1967","25","500.0000","","87.4670","0","0","1","0","5.0000","0","0","0","1","200.0000","0","RADIO CALL SIGN ON DATABASE IS ""BH2042"" AND DISPLAYED ON PHOTOGRAPH IS ""BVHS"".  TO BE CONFIRMED BY OWNER WHICH IS THE CORRECT IRCS.
OLD VESSEL NAME: ""LIAN CHUEN NO.3"" AND ""LIAN CHUEN NO.16"":","REG_DEV","23/2/1996 11:42:12","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"21915","Fish Carrier","MARIANNE","DUJ6008","PH","FV000044","313.4700","42.5000","JP","9.0000","1967","24","1050.0000","","136.0000","0","0","0","0","","0","0","0","1","420.0000","0","Previously classified as a Mothership during registration period, 1994/1995 and changed to Reefer Carrier during registraton period 1995/1996 to date.","REG_DEV","23/2/1996 11:41:44","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"21436","Single Purse Seine","SUNFLOWER 88","DVPB","PH","000000220","995.1000","61.7600","JP","9.5000","1967","26","1800.0000","","210.0000","0","0","0","0","60.0000","0","0","1","0","580.0000","1","wrong entry.","REG_DEV","23/2/1996 11:41:42","GINIA.HAROLD","27/2/2014 17:07:20","","","GWD013003052708@vmstracking.com","1","454839220","61.76","61.16","Caterpillar","MT","","289","10/3/2010 00:00:00","","","Kanasashi Heavy Industries Co Ltd","528.3100","","3.9500","11.20","6803868","1027"
"14613","Longline","LONG DAR 21","BH2993","TW","CT6-0993","213.6200","36.6600","TW","9.0000","1967","16","400.0000","","140.0000","0","0","1","0","5.0000","0","1","0","0","185.0000","0","","REG_DEV","23/2/1996 11:41:20","REG_DEV","30/11/2003 19:59:33","","","","","","","","","CM","","","","","","","","","","","",""
"19455","Longline","I TSENG 7","BVNA","TW","CT5-0456","167.1400","29.1400","TW","12.0000","1967","10","390.0000","","44.8110","0","0","0","1","4.0000","0","0","0","1","110.0000","0","","REG_DEV","23/2/1996 11:41:36","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"19653","Single Purse Seine","EAGLE","ZMAE","NZ","125886","1355.0000","61.0000","CA","10.0000","1967","19","3070.0000","","587.0000","1","1","0","0","250.0000","","1","1","1","850.0000","0","Last Vessel Name: Pacific Harvester and Golden Glow.
Last IRCS: WAC6760
Last Flag reg.number: 907914
Last Country of registration: US","REG_DEV","23/2/1996 11:41:38","REG_DEV","31/8/2016 18:03:05","8723512000140","881631852172","wheelhouse.ob@simu.co.nz","1","451200478","56.18","54","EMD-16CYL","MT","512000","510","21/8/2008 00:00:00","","","Yarrows Ltd","406.0000","","8.8400","12.01","6717801","4441"
"30932","Fish Carrier","JIA YOW","3ENL9","TW","21519-TT","3686.0000","111.1000","TW","17.5000","1967","25","6000.0000","","1037.8199","0","0","1","0","250.0000","0","0","0","0","","0","","REG_DEV","23/2/1996 11:42:45","JEANIEM","17/10/1997 15:03:50","","","","","","","","","","","","","","","","","","","","",""
"19380","Single Purse Seine","AMARYLLIS","DVDZ","PH","000001399","936.6900","68.0100","JP","12.0000","1967","26","2400.0000","","1210.0000","1","0","0","0","80.0000","0","0","1","0","555.0000","0","Flag registration numbers previously used is ICGD-81-0176,  225793 and 225793. Changed from 01130 to MNLD007581.
Inmarsat Number: 454856810","REG_DEV","23/2/1996 11:41:36","ALISA.VAVATAGA","20/2/2014 16:57:58","","","GWD013002060308@vmstracking.com","1","454899025","61.76","61.16","Hanshin","MT","","289","14/6/1995 00:00:00","","","Kanasashi Heavy Industries Co Ltd","409.5900","","4.1000","11.20","6811994","1014"
"21105","Longline","TSAI HENG 6","BVNQ","TW","CT5-0446","190.0200","28.8300","TW","12.0000","1967","18","450.0000","","38.2700","0","0","1","0","5.0000","0","0","0","1","150.0000","0","","REG_DEV","23/2/1996 11:41:42","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"33096","Fish Carrier","MOREKHOD","USTV","SU","M-29864","3285.7800","92.3200","SU","10.5000","1967","31","4000.0000","","500.0000","0","0","0","0","0.0000","0","0","0","1","3230.0000","0","","REG_DEV","23/2/1996 11:45:14","REG_DEV","30/11/2003 19:59:36","","","","","","","","","CM","","","","","","","","","","","",""
"34813","Longline","DONG YI 1","XUXQ9","KH","0168547","214.0000","39.5500","JP","10.0000","1968","14","515.0000","","126.0000","0","","","1","2.0000","","","","1","98.0000","0","","CECILIAN","3/4/2002 14:16:24","SENOVEVAM","30/8/2005 19:00:16","","","","1","441222615","34.8960","34.8960","6G26HS","CM","","","","","","","","","","","",""
"34814","Longline","DONGYI 2","XUXP9","KH","0168546","214.0000","34.8960","JP","10.0000","1968","14","515.0000","","90.0000","0","","","1","2.0000","","","","1","80.0000","0","","CECILIAN","3/4/2002 14:50:24","REG_DEV","30/11/2003 19:59:38","","","","0","","","","","CM","","","","","","","","","","","",""
"12104","Longline","SHINN FAR 28","BH2090","TW","CT6-0090","250.9000","33.6000","TW","9.0000","1968","22","600.0000","","75.6000","0","0","0","1","3.0000","0","0","0","1","140.0000","0","","REG_DEV","23/2/1996 11:41:14","REG_DEV","30/11/2003 19:59:33","","","","","","","","","CM","","","","","","","","","","","",""
"15859","Longline","KUO LI 1","BVOV","TW","CT6-0072","200.0700","29.4700","TW","10.0000","1968","18","430.0000","","67.2400","0","0","1","0","5.0000","0","0","0","1","200.0000","0","","REG_DEV","23/2/1996 11:41:24","REG_DEV","30/11/2003 19:59:33","","","","","","","","","CM","","","","","","","","","","","",""
"17459","Longline","SHENG WANG 7","BVSH","TW","CT5-0497","161.0400","31.8100","TW","12.0000","1968","14","450.0000","","90.0000","0","0","0","1","5.0000","0","1","0","0","120.0000","0","","REG_DEV","23/2/1996 11:41:29","REG_DEV","30/11/2003 19:59:33","","","","","","","","","CM","","","","","","","","","","","",""
"27425","Single Purse Seine","MATHAWMAL","V6CB","FM","VROO 17G","605.0000","46.5000","US","18.0000","1968","18","1600.0000","","227.1200","0","1","0","0","150.0000","0","0","1","0","780.0000","0","FREEZE & STORAGE METHODS MEASURED IN SHORT TONNE.","REG_DEV","23/2/1996 11:42:18","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
"24430","Fish Carrier","SAJO DOLPHIN","DTBR","KR","95050646210009","2654.2600","97.4500","JP","10.5000","1968","24","3520.0000","","350.0000","0","0","0","0","","0","0","0","0","","0","","REG_DEV","23/2/1996 11:41:57","BRENDAR","9/4/2002 15:39:04","","","","","","","","","","","","","","","","","","","","",""
"32060","Fish Carrier","GOLDEN PACIFIC","3EOU3","PA","14895-85-A","1232.8101","69.6000","DK","14.0000","1968","15","2000.0000","","270.0000","0","0","0","0","0.0000","0","0","0","1","2000.0000","0","","REG_DEV","23/2/1996 11:43:05","REG_DEV","30/11/2003 19:59:34","","","","","","","","","CM","","","","","","","","","","","",""
